text,intent
too much pressure please,stress_motivation
can you help me with my routine,study_tips
mentor i need a pep talk,stress_motivation
low attendance problem,attendance_issue
is 69% possible,target_percentage
morning mentor mentor,greeting
marks are low please,study_tips
hi bro sir,greeting
how to stay positive sir,stress_motivation
feeling anxious about results bro,stress_motivation
target is 85 percent bro,target_percentage
tips to score 95%,target_percentage
can i get attendance help me,attendance_issue
too much pressure mentor,stress_motivation
how can i get 60% sir,target_percentage
hi,greeting
how to stay motivated bro,stress_motivation
i want to get 52%,target_percentage
feeling anxious sir,stress_motivation
tips for exams,study_tips
i am burnt out please,stress_motivation
need some motivation please,stress_motivation
feeling anxious please,stress_motivation
hi there bro,greeting
lack of motivation sir,stress_motivation
how to study better sir,study_tips
effective study techniques,study_tips
sir any tips for finals bro,study_tips
please fix my attendance sir help me,attendance_issue
how to stay motivated please,stress_motivation
emergency leave sir,attendance_issue
how to stay positive help me,stress_motivation
sorry sir i was sick mentor,attendance_issue
target is 50 percent bro,target_percentage
how to secure 80%,target_percentage
hey sir,greeting
mentor my attendance is short help me,attendance_issue
suggest study plan sir,study_tips
how to improve performance sir,study_tips
give me some encouragement,stress_motivation
sir i am overwhelmed,stress_motivation
can i get attendance mentor,attendance_issue
i am burnt out,stress_motivation
how to reach 50% please,target_percentage
feeling demotivated mentor,stress_motivation
good evening please,greeting
how to study better bro,study_tips
is 51 percent possible,target_percentage
my goal is 92 percent,target_percentage
emergency leave,attendance_issue
greetings mentor,greeting
hey sir mentor,greeting
good evening,greeting
hello please help bro,greeting
mentor i need a pep talk bro,stress_motivation
how to reach 85% sir,target_percentage
good day sir,greeting
hi bro please,greeting
how do i study better sir,study_tips
mentor i am aiming for 66%,target_percentage
academic pressure mentor,stress_motivation
good afternoon help me,greeting
mentor i am aiming for 52 percent,target_percentage
hi mentor,greeting
bro i forgot to sign the sheet mentor,attendance_issue
exam stress bro,stress_motivation
tips for exams help me,study_tips
effective study techniques bro,study_tips
academic pressure bro,stress_motivation
tips to score 80% please,target_percentage
how to improve performance please,study_tips
my goal is 55%,target_percentage
best way to learn help me,study_tips
mentor i need a pep talk mentor,stress_motivation
low attendance problem sir,attendance_issue
how to improve attendance bro,attendance_issue
sorry sir i was sick bro,attendance_issue
medical leave bro,attendance_issue
need guidance for studies mentor,study_tips
academic pressure,stress_motivation
how to secure 75% bro,target_percentage
please fix my attendance sir,attendance_issue
hello please help,greeting
suggest study plan mentor,study_tips
feeling down mentor sir,stress_motivation
how can i get 60% bro,target_percentage
bro how to pass sir,study_tips
feeling demotivated bro,stress_motivation
i was absent yesterday mentor,attendance_issue
good afternoon sir,greeting
how to improve grades bro,study_tips
is 61% possible,target_percentage
low attendance problem bro,attendance_issue
greetings please,greeting
feeling anxious mentor,stress_motivation
hey,greeting
mentor my attendance is short mentor,attendance_issue
i am feeling stressed mentor,stress_motivation
how do i study better mentor,study_tips
morning mentor,greeting
good day bro,greeting
mentor i need a pep talk help me,stress_motivation
attendance shortage sir,attendance_issue
how to improve marks bro,study_tips
sir any tips for finals help me,study_tips
low attendance problem please,attendance_issue
how to stay positive bro,stress_motivation
good evening mentor,greeting
how do i study better help me,study_tips
give me some encouragement please,stress_motivation
how to stay motivated sir,stress_motivation
effective study techniques sir,study_tips
morning mentor sir,greeting
i am burnt out sir,stress_motivation
how to stay motivated,stress_motivation
how to prepare for exams please,study_tips
target is 50% please,target_percentage
greetings,greeting
how to improve performance bro,study_tips
please help me get 90%,target_percentage
feeling anxious about results help me,stress_motivation
bro i need 59% at least,target_percentage
yo help me,greeting
give me study advice please,study_tips
aiming for 80% please,target_percentage
target is 60 percent bro,target_percentage
emergency leave bro,attendance_issue
bro how to pass please,study_tips
sir i am overwhelmed bro,stress_motivation
need 75% in exams please,target_percentage
give me some encouragement help me,stress_motivation
bro i need 77% at least,target_percentage
need some motivation mentor,stress_motivation
i want to get 85%,target_percentage
i want to get 51 percent,target_percentage
i am burnt out help me,stress_motivation
best way to learn mentor,study_tips
study plan please mentor,study_tips
i am feeling stressed,stress_motivation
study plan please please,study_tips
i am stressed,stress_motivation
hello mentor sir,greeting
i am stressed bro,stress_motivation
hi bro help me,greeting
medical leave sir,attendance_issue
please help me get 94 percent,target_percentage
i was absent yesterday help me,attendance_issue
risk due to attendance mentor,attendance_issue
how to prepare for exams,study_tips
feeling demotivated,stress_motivation
risk due to attendance sir,attendance_issue
